model,feature_mode,test_accuracy,test_precision,test_recall,test_f1,test_loss,model_path,report,confusion_matrix,history
VGG19,combined_graphics,0.6666666865348816,0.5666666626930237,0.7083333134651184,0.6296296143893206,0.6805073618888855,C:\Users\Lenovo\Downloads\dataset2\final_pipeline_outputs\cnn_models\VGG19_generalized_graphics.keras,"              precision    recall  f1-score   support

          HC       0.77      0.64      0.70        36
          PD       0.57      0.71      0.63        24

    accuracy                           0.67        60
   macro avg       0.67      0.67      0.66        60
weighted avg       0.69      0.67      0.67        60
","[[23, 13], [7, 17]]","{'accuracy': [0.5769230723381042, 0.5432692170143127, 0.557692289352417, 0.5096153616905212, 0.5144230723381042, 0.5865384340286255, 0.5336538553237915, 0.5480769276618958], 'loss': [0.8318670988082886, 0.7371295094490051, 0.7328799366950989, 0.7353444695472717, 0.7359421253204346, 0.6753430962562561, 0.7276986837387085, 0.7071167230606079], 'precision': [0.5, 0.37931033968925476, 0.46666666865348816, 0.37931033968925476, 0.37735849618911743, 0.5166666507720947, 0.40425533056259155, 0.4444444477558136], 'recall': [0.034090910106897354, 0.125, 0.3181818127632141, 0.25, 0.22727273404598236, 0.35227271914482117, 0.21590909361839294, 0.27272728085517883], 'val_accuracy': [0.375, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 'val_loss': [0.7045552730560303, 0.7179811000823975, 0.7360413670539856, 0.726712167263031, 0.7216359972953796, 0.7173004150390625, 0.7167076468467712, 0.7144655585289001], 'val_precision': [0.3333333432674408, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 'val_recall': [0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'learning_rate': [9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 4.999999873689376e-05, 4.999999873689376e-05, 4.999999873689376e-05, 2.499999936844688e-05]}"
ResNet50,combined_graphics,0.6000000238418579,0.0,0.0,0.0,0.6784792542457581,C:\Users\Lenovo\Downloads\dataset2\final_pipeline_outputs\cnn_models\ResNet50_generalized_graphics.keras,"              precision    recall  f1-score   support

          HC       0.60      1.00      0.75        36
          PD       0.00      0.00      0.00        24

    accuracy                           0.60        60
   macro avg       0.30      0.50      0.38        60
weighted avg       0.36      0.60      0.45        60
","[[36, 0], [24, 0]]","{'accuracy': [0.4759615361690521, 0.4663461446762085, 0.5432692170143127, 0.5336538553237915, 0.5480769276618958, 0.5528846383094788, 0.4951923191547394, 0.5480769276618958, 0.5144230723381042, 0.6057692170143127, 0.5336538553237915, 0.5144230723381042, 0.5192307829856873], 'loss': [0.7999371290206909, 0.8177407383918762, 0.7242372035980225, 0.7514553070068359, 0.7349448800086975, 0.7384932041168213, 0.7567562460899353, 0.7254959344863892, 0.7672021389007568, 0.6790177822113037, 0.7186008095741272, 0.72059166431427, 0.7623224854469299], 'precision': [0.39603960514068604, 0.26530611515045166, 0.4545454680919647, 0.43283581733703613, 0.4545454680919647, 0.4528301954269409, 0.3835616409778595, 0.4615384638309479, 0.38983049988746643, 0.550000011920929, 0.42105263471603394, 0.38181817531585693, 0.3799999952316284], 'recall': [0.4545454680919647, 0.14772726595401764, 0.39772728085517883, 0.3295454680919647, 0.34090909361839294, 0.27272728085517883, 0.3181818127632141, 0.40909090638160706, 0.2613636255264282, 0.375, 0.27272728085517883, 0.23863635957241058, 0.21590909361839294], 'val_accuracy': [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 'val_loss': [0.7452616691589355, 0.7152846455574036, 0.6996784210205078, 0.7090021967887878, 0.7079460024833679, 0.6984513401985168, 0.699200451374054, 0.7003943920135498, 0.7017943859100342, 0.701832115650177, 0.7007773518562317, 0.7000640034675598, 0.6990096569061279], 'val_precision': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'val_recall': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'learning_rate': [9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 4.999999873689376e-05, 4.999999873689376e-05, 4.999999873689376e-05, 2.499999936844688e-05]}"
MobileNet,combined_graphics,0.5666666626930237,0.4761904776096344,0.8333333134651184,0.6060605973275037,0.6704195737838745,C:\Users\Lenovo\Downloads\dataset2\final_pipeline_outputs\cnn_models\MobileNet_generalized_graphics.keras,"              precision    recall  f1-score   support

          HC       0.78      0.39      0.52        36
          PD       0.48      0.83      0.61        24

    accuracy                           0.57        60
   macro avg       0.63      0.61      0.56        60
weighted avg       0.66      0.57      0.55        60
","[[14, 22], [4, 20]]","{'accuracy': [0.4759615361690521, 0.5336538553237915, 0.5625, 0.5432692170143127, 0.567307710647583, 0.5432692170143127, 0.5336538553237915], 'loss': [1.1951162815093994, 0.8784507513046265, 0.7928342223167419, 0.8514554500579834, 0.8134050369262695, 0.79375159740448, 0.8721632361412048], 'precision': [0.42953020334243774, 0.449438214302063, 0.4776119291782379, 0.4406779706478119, 0.4886363744735718, 0.4588235318660736, 0.4262295067310333], 'recall': [0.7272727489471436, 0.4545454680919647, 0.3636363744735718, 0.2954545319080353, 0.4886363744735718, 0.4431818127632141, 0.2954545319080353], 'val_accuracy': [0.375, 0.4166666567325592, 0.375, 0.3333333432674408, 0.3333333432674408, 0.375, 0.375], 'val_loss': [0.8114116787910461, 0.8000562787055969, 0.7951197624206543, 0.7871400713920593, 0.7834582328796387, 0.790056049823761, 0.7867270112037659], 'val_precision': [0.4285714328289032, 0.0, 0.0, 0.0, 0.1666666716337204, 0.0, 0.0], 'val_recall': [0.75, 0.0, 0.0, 0.0, 0.0833333358168602, 0.0, 0.0], 'learning_rate': [9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]}"
